CASHMERE_JACKET, #00926E, #1C9759, Figmail, 14.6941227, 54, 096, 109.595, , , , , , , , 2
OXFORD_SHOES, #D4C8D4, #CBD2DB, Rabbit Armour, 7.31618326, 26, DCD, 9.983, , , , , , , , 2
VELVET_TOP_HAT, #EF00DE, #FF33FF, Og Fairy Dyed (FF33FF), 10.2192775, 100, E0D, 192.141, , , , , , , F00D, 2
OXFORD_SHOES, #123C4F, #324D6C, Tentacle Dye, 12.1193867, 78, 134, 44.976, , , , , , , , 1
VELVET_TOP_HAT, #E8F0F0, #E6E6E6, Super Heavy Helm+Boots, 4.04712767, 22, EFF, 6.655, , , , , , , , 2
VELVET_TOP_HAT, #F6C8D4, #FFCCE5, Fairy Dyed (FFCCE5), 7.15961389, 30, FCD, 34.380, , , , , , , , 1
VELVET_TOP_HAT, #655F77, #50414C, Pelt Dye, 14.8852857, 94, 657, 17.997, , , , , , , , 2
SATIN_TROUSERS, #450867, #54146E, Crystal Dyed (54146E), 5.24376236, 34, 406, 69.357, , , , , , , , 1
OXFORD_SHOES, #6A6889, #324D6C, Tentacle Dye, 16.2888718, 112, 668, 26.659, , , , , , , , 2
OXFORD_SHOES, #F8EBE6, #E6E6E6, Super Heavy Helm+Boots, 5.94884769, 23, FEE, 13.388, , , , , , , , 2
OXFORD_SHOES, #0E3D0C, #154918, Wyld Boots (Rift), 5.28133720, 31, 030, 39.957, , , , , , , , 2
SATIN_TROUSERS, #D4FEF6, #E0FCF7, Speedster Set/Mercenary Boots, 4.94401352, 15, DFF, 32.133, , , , , , , , 2
CASHMERE_JACKET, #3D1041, #1F0030, Crystal Dyed (1F0030), 11.2496665, 63, 314, 39.205, , , , , , , , 2
VELVET_TOP_HAT, #00EE59, #00BE00, Growth Armour, 19.8536754, 137, 0E5, 173.271, , , , , , , , 2
CASHMERE_JACKET, #6D7B6A, #7A7964, Miners/Prospecting, 6.62893813, 21, 676, 13.074, , , , , , , , 2
SATIN_TROUSERS, #EDDAEC, #EFE1F5, Crystal Dyed (EFE1F5), 2.96292015, 18, EDE, 15.407, , , , , , , , 2
VELVET_TOP_HAT, #2B180D, #191919, Exo pure black, 13.3400785, 31, 210, 21.868, , , , , , , , 1
OXFORD_SHOES, #DDD7F0, #E5D1ED, Crystal Dyed (E5D1ED), 5.29924966, 17, DDF, 18.805, , , , , , , , 3
CASHMERE_JACKET, #54AFAF, #24DDE5, Thunder, 20.6103424, 148, 5AA, 75.702, , , , , , , , 2
VELVET_TOP_HAT, #CBAEC9, #D9C1E3, Crystal Dyed (D9C1E3), 7.79620448, 59, CAC, 23.337, , , , , , , , 2
OXFORD_SHOES, #6D676F, #606060, Spooky Armour, 6.51026934, 35, 666, 5.999, True, , , , , , , 3
CASHMERE_JACKET, #35000A, #450101, Crypt Witherlord, 11.7428152, 26, 300, 40.575, , , , , , , , 3
SATIN_TROUSERS, #EBAA3A, #EDAA36, Pumpkin, 1.91531299, 6, EA3, 129.007, , , , , , , , 3
OXFORD_SHOES, #164D11, #13561E, Squash Boots, 5.07586025, 25, 141, 47.969, , , , , , , , 3
OXFORD_SHOES, #BFBFC7, #BFBFBF, Spirit Boots, 4.29172350, 8, BBC, 6.655, , , , , , , , 2
VELVET_TOP_HAT, #0EAFFD, #6699D8, Exo pure light blue, 16.3708243, 147, 0AF, 175.612, , , , , , , , 2
VELVET_TOP_HAT, #01186C, #330066, Og Fairy Dyed (330066), 14.0057193, 80, 016, 81.155, , , , , , , , 2
OXFORD_SHOES, #8B8BBD, #6699D8, Exo pure light blue, 15.5753041, 78, 88B, 41.595, , , , , , , , 3
CASHMERE_JACKET, #FDE5FF, #EFE1F5, Crystal Dyed (EFE1F5), 5.19878837, 28, FEF, 20.847, , , , , , , , 3
VELVET_TOP_HAT, #D9C0E2, #D9C1E3, Crystal Dyed (D9C1E3), 0.45852661, 2, DCE, 25.383, , , , , , , , 1
CASHMERE_JACKET, #E0F1E2, #E0FCF7, Speedster Set/Mercenary Boots, 7.06807296, 32, EFE, 13.388, , , , , , , , 2
VELVET_TOP_HAT, #D4B6AB, #CEB7AA, Livid Dye, 2.93680333, 8, DBA, 30.577, , , , , , , , 2
SATIN_TROUSERS, #493F02, #664C33, Exo pure brown, 20.2367958, 91, 430, 55.375, , , , , , , , 1
OXFORD_SHOES, #0E1132, #0E1736, Primordial Armour, 3.49822123, 10, 013, 28.781, , , , , , , , 2
OXFORD_SHOES, #FEF3D6, #E3DAC9, Bone Dye, 10.5311853, 65, FFD, 29.774, , , , , , , , 2
CASHMERE_JACKET, #DFE1CC, #E3DAC9, Bone Dye, 4.81126418, 14, DEC, 16.700, , , , , , , , 2
CASHMERE_JACKET, #D3EEF1, #E0FCF7, Speedster Set/Mercenary Boots, 6.20311010, 33, DEF, 23.807, , , , , , , , 2
SATIN_TROUSERS, #B9DBDB, #CBD2DB, Rabbit Armour, 10.6403094, 27, BDD, 28.284, , , , , , , , 3
VELVET_TOP_HAT, #43372F, #4C4C4C, Exo pure grey, 11.4600763, 59, 432, 14.505, , , , , , , , 2
CASHMERE_JACKET, #99BAB5, #B3B3B3, Heat Armour, 12.1961569, 35, 9BB, 25.627, , , , , , , , 2
SATIN_TROUSERS, #351659, #370147, Necromancer Lord Leggings, 8.62838911, 41, 315, 48.314, , , , , , , , 2
SATIN_TROUSERS, #F6F8D3, #E9FFDB, Nyanza Dye, 7.32715026, 28, FFD, 29.983, , , , , , , , 2
CASHMERE_JACKET, #2C1D1C, #332A2A, Fancy Tux Chestplate+Boots, 6.56925294, 34, 211, 12.914, , , , , , , , 2
SATIN_TROUSERS, #66CDDD, #09D8EB, Frostbitten Dye, 12.0316661, 118, 6CD, 93.057, , , , , , , , 3
CASHMERE_JACKET, #DFA7EE, #B88BC9, Crystal Dyed (B88BC9), 12.6966718, 104, DAE, 53.919, , , , , , , , 2
OXFORD_SHOES, #C1ABBB, #B3B3B3, Heat Armour, 11.9955255, 30, CAB, 16.386, , , , , , , , 3
SATIN_TROUSERS, #3F2C39, #50414C, Pelt Dye, 9.19619753, 57, 323, 13.995, , , , , , , , 2
SATIN_TROUSERS, #EEDEF9, #EFE1F5, Crystal Dyed (EFE1F5), 3.77982303, 8, EDF, 19.563, , , , , , , , 3
OXFORD_SHOES, #F8F0D1, #E3DAC9, Bone Dye, 10.1380727, 51, FFD, 29.681, , , , , , , , 2
VELVET_TOP_HAT, #E7F2E8, #E0FCF7, Speedster Set/Mercenary Boots, 6.68791720, 32, EFE, 8.765, , , , , , , , 2
VELVET_TOP_HAT, #A3A3A5, #999999, Exo pure light grey, 3.98287122, 32, AAA, 1.664, True, , , , , , , 3
VELVET_TOP_HAT, #082308, #191919, Exo pure black, 21.6080474, 44, 020, 22.461, , , , , , , , 2
CASHMERE_JACKET, #D1F9F8, #E0FCF7, Speedster Set/Mercenary Boots, 4.63728101, 19, DFF, 32.868, , , , , , , , 2
OXFORD_SHOES, #B9B9E4, #CCCCFF, Periwinkle Dye, 8.07828372, 65, BBE, 35.771, , , , , , , , 2
OXFORD_SHOES, #FFEFEE, #FCF3FF, Crystal Armour Reg (FCF3FF), 7.19714730, 24, FEE, 13.745, , , , , , , 2L-repeaters, 3
VELVET_TOP_HAT, #9FF990, #50C878, Emerald Dye, 21.9617186, 152, 9F9, 81.826, , , , , , , , 3
CASHMERE_JACKET, #EB00FC, #FF00FF, Pure Pink/Og Fairy Dyed (FF00FF), 6.48872071, 23, E0F, 202.935, , , , , , , , 2
